id,city_name,region_name
405,Кирово-Чепецк,Кировская область
406,Кировск,Ленинградская область
407,Кировск,Мурманская область
408,Кирс,Кировская область
409,Кирсанов,Тамбовская область
410,Киселёвск,Кемеровская область
411,Кисловодск,Ставропольский край
412,Клин,Московская область
413,Клинцы,Брянская область
414,Княгинино,Нижегородская область
415,Ковдор,Мурманская область
416,Ковров,Владимирская область
417,Ковылкино,Мордовия
418,Когалым,Ханты-Мансийский АО
419,Кодинск,Красноярский край
420,Козельск,Калужская область
421,Козловка,Чувашия
422,Козьмодемьянск,Марий Эл
423,Кола,Мурманская область
424,Кологрив,Костромская область
425,Коломна,Московская область
426,Колпашево,Томская область
427,Колтуши,Ленинградская область
428,Кольчугино,Владимирская область
429,Коммунар,Ленинградская область
430,Комсомольск,Ивановская область
431,Комсомольск-на-Амуре,Хабаровский край
432,Конаково,Тверская область
433,Кондопога,Карелия
434,Кондрово,Калужская область
435,Константиновск,Ростовская область
436,Копейск,Челябинская область
437,Кораблино,Рязанская область
438,Кореновск,Краснодарский край
439,Коркино,Челябинская область
440,Королёв,Московская область
441,Короча,Белгородская область
442,Корсаков,Сахалинская область
443,Коряжма,Архангельская область
444,Костерёво,Владимирская область
445,Костомукша,Карелия
446,Кострома,Костромская область
447,Котельники,Московская область
448,Котельниково,Волгоградская область
449,Котельнич,Кировская область
450,Котлас,Архангельская область
451,Котово,Волгоградская область
452,Котовск,Тамбовская область
453,Кохма,Ивановская область
454,Красавино,Вологодская область
455,Красноармейск,Московская область
456,Красноармейск,Саратовская область
457,Красновишерск,Пермский край
458,Красногорск,Московская область
459,Краснодар,Краснодарский край
460,Краснозаводск,Московская область
461,Краснознаменск,Калининградская область
462,Краснознаменск,Московская область
463,Краснокаменск,Забайкальский край
464,Краснокамск,Пермский край
465,Краснослободск,Волгоградская область
466,Краснослободск,Мордовия
467,Краснотурьинск,Свердловская область
468,Красноуральск,Свердловская область
469,Красноуфимск,Свердловская область
470,Красноярск,Красноярский край
471,Красный Кут,Саратовская область
472,Красный Сулин,Ростовская область
473,Красный Холм,Тверская область
474,Кремёнки,Калужская область
475,Кропоткин,Краснодарский край
476,Крымск,Краснодарский край
477,Кстово,Нижегородская область
478,Кубинка,Московская область
479,Кувандык,Оренбургская область
480,Кувшиново,Тверская область
481,Кудрово,Ленинградская область
482,Кудымкар,Пермский край
483,Кузнецк,Пензенская область
484,Куйбышев,Новосибирская область
485,Кукмор,Татарстан
486,Кулебаки,Нижегородская область
487,Кумертау,Башкортостан
488,Кунгур,Пермский край
489,Купино,Новосибирская область
490,Курган,Курганская область
491,Курганинск,Краснодарский край
492,Курильск,Сахалинская область
493,Курлово,Владимирская область
494,Куровское,Московская область
495,Курск,Курская область
496,Куртамыш,Курганская область
497,Курчалой,Чечня
498,Курчатов,Курская область
499,Куса,Челябинская область
500,Кушва,Свердловская область
501,Кызыл,Тыва
502,Кыштым,Челябинская область
503,Кяхта,Бурятия
504,Лабинск,Краснодарский край
505,Лабытнанги,Ямало-Ненецкий АО
506,Лагань,Калмыкия
507,Ладушкин,Калининградская область
508,Лаишево,Татарстан
509,Лакинск,Владимирская область
510,Лангепас,Ханты-Мансийский АО
